events_per_sec,exec_ratio,unique_comms,max_files_per_proc,max_chain_depth,session,label
47.6,0.06722689075630252,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.0,0.06808510638297872,9.0,62.0,4.0,baseline_dev_20260801_183119,baseline
27.4,0.058394160583941604,11.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.2,0.06779661016949153,9.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.3,0.06765327695560254,10.0,62.0,4.0,baseline_dev_20260801_183119,baseline
45.7,0.0700218818380744,9.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.6,0.06722689075630252,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
48.0,0.06666666666666667,10.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.8,0.06837606837606838,11.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.7,0.06852248394004283,9.0,62.0,3.0,baseline_dev_20260801_183119,baseline
47.3,0.06765327695560254,11.0,62.0,4.0,baseline_dev_20260801_183119,baseline
45.8,0.06986899563318777,9.0,62.0,3.0,baseline_dev_20260801_183119,baseline
47.2,0.06779661016949153,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
45.4,0.07048458149779736,7.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.2,0.06926406926406926,9.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.2,0.06926406926406926,8.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.1,0.06941431670281996,8.0,62.0,3.0,baseline_dev_20260801_183119,baseline
45.4,0.07048458149779736,7.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.7,0.06852248394004283,7.0,62.0,3.0,baseline_dev_20260801_183119,baseline
45.4,0.07048458149779736,7.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.3,0.06911447084233262,10.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.2,0.06926406926406926,8.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.2,0.06926406926406926,8.0,62.0,3.0,baseline_dev_20260801_183119,baseline
47.8,0.06694560669456066,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.4,0.06751054852320675,9.0,62.0,4.0,baseline_dev_20260801_183119,baseline
45.3,0.0706401766004415,6.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.4,0.06896551724137931,11.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.7,0.06852248394004283,8.0,62.0,3.0,baseline_dev_20260801_183119,baseline
48.5,0.06597938144329897,10.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.0,0.06808510638297872,9.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.3,0.06765327695560254,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
45.9,0.06971677559912855,8.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.5,0.06881720430107527,11.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.2,0.06926406926406926,8.0,62.0,3.0,baseline_dev_20260801_183119,baseline
